0 3935040
1 3939464
2 3940084
3 3946760
4 3946884
5 3946436
6 3946560
7 3934524
8 3929584
9 3886612
10 3892652
11 3898404
12 3898388
13 3899768
14 3899180
15 3901380
16 3900836
17 3900636
18 3904480
19 3908232
20 3904208
21 3905480
22 3906240
23 3905572
24 3906564
25 3912764
26 3910332
27 3910936
28 3911036
29 3910960
30 3910804
31 3911392
32 3922460
33 3923872
34 3904464
35 3894620
36 3899396
37 3899320
38 3900312
39 3900512
40 3903736
41 3903908
42 3915564
43 3925840
44 3931560
45 3932772
46 3933360
47 3933312
48 3933560
49 3932864
50 3932716
51 3932816
52 3933064
53 3933064
54 3933732
55 3933684
56 3933684
57 3933856
58 3908868
59 3903984
60 3901320
61 3901616
62 3900996
63 3901320
64 3901072
65 3902856
66 3905336
67 3906684
68 3909380
69 3916636
70 3919224
71 3921904
72 3924260
73 3930392
74 3907444
75 3907180
76 3907412
77 3906592
78 3907212
79 3907288
80 3907908
81 3908080
82 3908824
83 3908776
84 3898792
85 3895892
86 3888424
87 3888516
88 3892780
89 3892952
90 3892952
91 3892192
92 3892316
93 3893076
94 3895432
95 3892780
96 3892904
97 3894316
98 3894812
99 3894888
