0 3760624
1 3757552
2 3751844
3 3752060
4 3751316
5 3750628
6 3750868
7 3751440
8 3737676
9 3738064
10 3737476
11 3737304
12 3737924
13 3737476
14 3737708
15 3737784
16 3735924
17 3735724
18 3734856
19 3734636
20 3735056
21 3734624
22 3733384
23 3737204
24 3738164
25 3737096
26 3742896
27 3746956
28 3760828
29 3761248
30 3761372
31 3757852
32 3757852
33 3758916
34 3759040
35 3759240
36 3760452
37 3761004
38 3758236
39 3754716
40 3754964
41 3763644
42 3759972
43 3760792
44 3760620
45 3760932
46 3762296
47 3762404
48 3762156
49 3763196
50 3764684
51 3764860
52 3763892
53 3777472
54 3778264
55 3792928
56 3778140
57 3778312
58 3779024
59 3778728
60 3778852
61 3778776
62 3778280
63 3778976
64 3780324
65 3784768
66 3785156
67 3784504
68 3785108
69 3785156
70 3785172
71 3785000
72 3785100
73 3785048
74 3785296
75 3785140
76 3784752
77 3786660
78 3787776
79 3788860
80 3788348
81 3788644
82 3789512
83 3789216
84 3790708
85 3791112
86 3791716
87 3782492
88 3782616
89 3783392
90 3783780
91 3783484
92 3786336
93 3785640
94 3786484
95 3786740
96 3787700
97 3787624
98 3787228
99 3790924
