0 3821272
1 3821524
2 3821648
3 3820512
4 3824976
5 3822668
6 3821304
7 3819520
8 3822868
9 3822604
10 3823040
11 3822884
12 3819520
13 3821304
14 3818824
15 3819056
16 3819520
17 3819816
18 3819940
19 3819272
20 3819520
21 3824148
22 3824396
23 3824472
24 3827928
25 3830724
26 3831096
27 3836612
28 3834628
29 3836164
30 3841868
31 3834132
32 3834876
33 3837032
34 3834428
35 3835744
36 3835000
37 3835652
38 3838396
39 3846548
40 3848516
41 3849308
42 3849928
43 3849912
44 3850284
45 3850332
46 3850208
47 3850036
48 3850036
49 3850356
50 3850332
51 3850036
52 3849912
53 3846688
54 3841776
55 3841232
56 3847556
57 3847456
58 3847108
59 3847556
60 3852212
61 3852508
62 3851544
63 3851344
64 3851220
65 3851516
66 3851268
67 3851096
68 3850724
69 3841672
70 3843456
71 3840432
72 3840076
73 3841628
74 3840108
75 3842168
76 3842540
77 3850896
78 3844572
79 3843532
80 3842416
81 3843332
82 3847208
83 3843456
84 3846416
85 3844976
86 3823772
87 3823352
88 3824096
89 3824020
90 3824516
91 3824716
92 3825296
93 3825756
94 3826872
95 3825460
96 3828684
97 3828808
98 3838652
99 3844308
